Author string in Scopus,Count
"Dzhumadil'daev, A.",14
"Ala'anzy, M.A.",5
"Tulenbaev, K.",3
"Kosherbaeva, L.",3
"Saparkhojayev, N.",3
"Yilmaz, Y.",2
"Kenzhegaranova, M.",2
"Barkhandinova, A.",2
"Ahmad, Z.",2
"Kose, U.",2
"Ibragimov, N.",2
"Amangeldiyeva, A.",2
"Arslanov, M.Z.",2
"Senggirbay, M.",2
"Bakirova, A.B.",2
"Akhtaeva, N.",2
"Kozhageldiyeva, L.",2
"Kurmanalina, S.",2
"Tibeyev, T.",2
"Kurmanali, A.K.",2
"Gulmira, B.",1
"Abduali, B.",1
"Orazbek, M.",1
"Zhussupov, N.",1
"Zhumagulov, S.",1
"Baytanasova, K.M.",1
"Mentebayeva, A.E.",1
"Baratova, M.",1
"Khussainov, D.",1
"Narynbayev, D.",1
"Serikkhan, A.",1
"Mohammad, I.",1
"Choban, U.",1
"Hashim, N.A.",1
"Alsaaidah, Y.A.",1
"Muhammed, A.",1
"Othman, M.",1
"Abdullah, A.",1
"Alnaseri, O.",1
"Saeed, N.",1
"Mumtaz, F.",1
"Jehangiri, A.I.",1
"Ishaq, W.",1
"Alramli, O.I.",1
"Ghoniem, R.M.",1
"Yeshpanov, R.",1
"Efimov, P.",1
"Boytsov, L.",1
"Shalkarbayuli, A.",1
"Braslavski, P.",1
