Автор (ы),Author full names,Идентификатор автора(ов),Название документа,Год,Название источника,Том,Выпуск,Статья №,Страница начала,Страница окончания,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Сведения о финансировании,Текст о финансировании,Спонсоры,Название конференции,Дата конференции,Место проведения конференции,Код конференции,Тип документа,СТАДИЯ ПУБЛИКАЦИИ,Open Access (открытый доступ),Источник,EID,subject_area,Квартиль_лучший,Квартили_все,Квартили_детально,Предметные_области,SJR,ISSN,Source_ID,API_Status
"Erzurumlu, Y.; Dogan, H.K.; Çatakli, D.","Erzurumlu, Yalcin (55588677300); Dogan, Hatice Kübra (57290684200); Çatakli, Deniz (57811442500)",55588677300; 57290684200; 57811442500,The Assessment of Anti-Cancer Effect of Theranekron® on Human Hepatocellular Carcinoma HepG2 Cells,2025,Proceedings of the National Academy of Sciences India Section B - Biological Sciences,95.0,3.0,,527.0,538.0,0,10.1007/s40011-025-01671-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218749347&doi=10.1007%2Fs40011-025-01671-2&partnerID=40&md5=960c8b786b5a7a462e015b6af851f4ee,"Department of Biochemistry, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Bioengineering, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan","Erzurumlu, Yalcin, Department of Biochemistry, SDU University, Kaskelen, Almaty, Kazakhstan; Dogan, Hatice Kübra, Department of Bioengineering, SDU University, Kaskelen, Almaty, Kazakhstan; Çatakli, Deniz, Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan","Hepatocellular carcinoma (HCC) is a leading cause of cancer-related death worldwide. Despite systemic and molecularly targeted therapies commonly used in HCC, resistance gained against drugs highly limits treatment efficacy. For many years, the effectiveness of animal venoms and natural compounds in cancer treatment has been investigated with increasing interest. Theranekron D6®, an alcoholic extract of Tarantula cubensis venom, is used for various purposes in the veterinary field. Recent studies focusing on the effects of theranekron on human tumors have intensively investigated its mode of action. However, the anti-cancer effect of theranekron in HCC has not been studied yet. Herein, we investigated the possible anti-cancer effects of theranekron in hepatocellular carcinoma HepG2 cells by examining the ERAD, UPR signaling and autophagy mechanisms. Also, we tested its effect on the expression level of PARP-1, cyclin proteins and VEGF-A by immunoblotting. Lastly, to further analyze its effect on tumorigenic features of HepG2 cells, we carried out the functional analysis. We also examined the effect of theranekron on cellular morphological characteristics. Our findings revealed that theranekron has strong anti-cancer properties on HepG2 cells by differently modulating the autophagy, ERAD and UPR signaling. Moreover, it markedly induced the cleavage of PARP-1 protein and reduced the levels of cyclins and VEGF-A. More strikingly, it strongly suppressed the tumorigenic features of HepG2 cells. Our data indicated that theranekron has significant anti-cancer effects on HepG2 cells. However, further in vitro and in vivo analysis is needed for theranekron to find a place in clinical applications. © The Author(s), under exclusive licence to The National Academy of Sciences, India 2025.",Apoptosis; Autophagy; Cell cycle; ER stress; Theranekron; Unfolded protein response,,"Süleyman Demirel Üniversitesi, SDU, (TSG-2021–8302, TAB-2020–8253)","This study was partially supported by Suleyman Demirel University internal funds (TSG-2021\u20138302, TAB-2020\u20138253).",,,,,,Article,Final,,Scopus,2-s2.0-85218749347,agricultural_and_biological_sciences,Q2,"Q2, Q3","Agricultural and Biological Sciences (all): Q2 (rank 101, 55%); Environmental Science (all): Q3 (rank 145, 39%)",Agricultural and Biological Sciences (all); Environmental Science (all),0.263,0369-8211,19900193617.0,ok_2024
"Tan, G.; Özkan, G.; Aydin, E.","Tan, Gözdenur (59648729400); Özkan, Gülcan (7003718004); Aydin, Ebru (56946415500)",59648729400; 7003718004; 56946415500,Effect of Aquafaba and Almond Milk on the Quality of Gluten-Free Vegan Pancakes: Nutritional and Sensory Evaluation,2025,Plant Foods for Human Nutrition,80.0,1.0,72.0,,,5,10.1007/s11130-025-01311-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218690532&doi=10.1007%2Fs11130-025-01311-0&partnerID=40&md5=b979b1126111a2dfa045dbecea75c166,"Department of Food Engineering, SDU University, Kaskelen, Almaty, Kazakhstan","Tan, Gözdenur, Department of Food Engineering, SDU University, Kaskelen, Almaty, Kazakhstan; Özkan, Gülcan, Department of Food Engineering, SDU University, Kaskelen, Almaty, Kazakhstan; Aydin, Ebru, Department of Food Engineering, SDU University, Kaskelen, Almaty, Kazakhstan","The rising prevalence of celiac disease, gluten sensitivity, and vegan dietary preferences has increased the demand for gluten-free and plant-based foods. This study investigates the potential of aquafaba, a chickpea cooking by-product, as an egg substitute, combined with almond, coconut, and buckwheat flours to develop gluten-free vegan pancake formulations. Aquafaba was optimized for foaming and emulsifying properties under specific conditions (30 min cooking at 70–80 kPa, 110–115 °C, with a 1:1 chickpea-to-water ratio). Four pancake formulations, including gluten containing pancake (GCP), gluten-containing vegan (GCVP) gluten-free pancake (GFP) and gluten-free vegan pancake (GFVP) were evaluated for physicochemical, nutritional, sensory, and textural properties. The GFVP formulation, containing 10.5% almond, 4% coconut, and 15% buckwheat flours, exhibited 14.38% fat, 8.8% protein, 4.01% ash, and 5.29 g/100 g dietary fiber. These values were significantly higher than GCVP, which had 0.24% fat, 7.75% protein, 2.39% ash, and 0.72 g/100 g dietary fiber. Texture analysis showed that gluten-containing pancakes had superior cohesiveness (0.75) and springiness (0.85), while GFVP demonstrated softer properties with cohesiveness at 0.55 and hardness at 2.7 N. Sensory evaluation revealed high consumer acceptability for GFVP, with competitive scores for flavor and overall preference. Using aquafaba and alternative flours allowed the development of gluten-free, vegan, and sugar-free pancakes with desirable nutritional and sensory attributes. These results highlight aquafaba’s potential in creating sustainable, functional foods tailored to diverse dietary needs. The findings contribute to the advancement of functional, health-focused food development. © The Author(s) 2025.",Aquafaba; Functional food; Gluten-free; Pancake; Vegan,"gluten; adult; almond; chemistry; Cicer; coconut; cooking; dietary fiber; Fagopyrum; female; flour; gluten free diet; human; male; nutritional value; procedures; taste; vegan; vegan diet; Adult; Cocos; Cooking; Diet, Gluten-Free; Diet, Vegan; Dietary Fiber; Female; Flour; Glutens; Humans; Male; Nutritive Value; Prunus dulcis; Taste; Vegans","Türkiye Bilimsel ve Teknolojik Araştırma Kurumu, TÜBİTAK; Suleyman Demirel University, SDU, (FYL-2022-8775); Suleyman Demirel University, SDU",Funding text 1: Open access funding provided by the Scientific and Technological Research Council of T\u00FCrkiye (T\u00DCB\u0130TAK).; Funding text 2: We acknowledge the Suleyman Demirel University Scientific Research Projects Unit for funding this research.; Funding text 3: This work was supported by the Suleyman Demirel University Scientific Research Projects Unit [Grant Number FYL-2022-8775].,,,,,,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85218690532,agricultural_and_biological_sciences,Q2,"Q2, Q2","Food Science: Q2 (rank 115, 71%); Chemistry (miscellaneous): Q2 (rank 39, 68%)",Food Science; Chemistry (miscellaneous),0.741,0921-9668,27993.0,ok_2024
"Tleubayev, A.; Bobojonov, I.; Götz, L.","Tleubayev, Alisher (57218958016); Bobojonov, Ihtiyor (26323550900); Götz, Linde (37066033600)",57218958016; 26323550900; 37066033600,Agricultural Policies and Technical Efficiency of Wheat Production in Kazakhstan and Russia: Evidence from a Stochastic Frontier Approach,2022,Journal of Agricultural and Applied Economics,54.0,3.0,,407.0,421.0,11,10.1017/aae.2022.13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139719797&doi=10.1017%2Faae.2022.13&partnerID=40&md5=7ddb5efe6d6374ef0057c835d1e38feb,"Department of Agricultural Markets, Leibniz-Institut für Agrarentwicklung in Transformationsökonomien, Halle, Sachsen-Anhalt, Germany; School of Business, SDU University, Kaskelen, Almaty, Kazakhstan","Tleubayev, Alisher, Department of Agricultural Markets, Leibniz-Institut für Agrarentwicklung in Transformationsökonomien, Halle, Sachsen-Anhalt, Germany, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Bobojonov, Ihtiyor, Department of Agricultural Markets, Leibniz-Institut für Agrarentwicklung in Transformationsökonomien, Halle, Sachsen-Anhalt, Germany; Götz, Linde, Department of Agricultural Markets, Leibniz-Institut für Agrarentwicklung in Transformationsökonomien, Halle, Sachsen-Anhalt, Germany","We utilize a unique primary data set of farms in Russia and Kazakhstan to investigate the link between policy reforms and technical efficiency. These countries have heavily subsidized their domestic agricultural production over the last decade, with a total of around USD 76 billion USD and USD 11.5 billion USD in government funding directed towards the agricultural sectors in Russia and Kazakhstan, respectively. Results of a stochastic frontier analysis make evident that variable inputs, such as fertilizer, have a relatively large influence on wheat production compared to land. Nearly every fifth farm has a technical efficiency level lower than 60%, suggesting significant unrealized production potential. While our analysis shows a negative relation between subsidies and efficiency, other factors, such as farmer's education, cooperative and agroholding membership, and participation in insurance programs, are positively related to farm efficiency. The results imply that the governments and policymakers could mobilize the unutilized wheat production potential by improving the farmer education system, fostering cooperation among farms, and developing functioning farm insurance schemes. © 2022 The Author(s). Published by Cambridge University Press on behalf of the Southern Agricultural Economics Association.",Food security; KRU countries; stochastic frontier analysis; subsidies; technical efficiency,,"Bundesministerium für Ernährung und Landwirtschaft, BMEL, (2816HS005); Bundesministerium für Ernährung und Landwirtschaft, BMEL","This work was supported by German Federal Ministry of Food and Agriculture (BMEL), in the frame of the research project titled “Analysis of the Strategy of the Russian Federation to extend Agricultural Production (STARLAP)”, Grant Number - 2816HS005.",,,,,,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85139719797,agricultural_and_biological_sciences,Q2,"Q2, Q2","Agricultural and Biological Sciences (miscellaneous): Q2 (rank 82, 64%); Economics and Econometrics: Q2 (rank 342, 53%)",Agricultural and Biological Sciences (miscellaneous); Economics and Econometrics,0.45,1074-0708,80793.0,ok_2024
"Şencan, A.; Sevindir, H.C.; Kılıç, M.; Karaboyaci, M.","Şencan, Aziz (35337989800); Sevindir, H. Cahit (6603367948); Kılıç, Mehmet (35336641000); Karaboyaci, Mustafa (37113636400)",35337989800; 6603367948; 35336641000; 37113636400,Biosorption of CR+6 from aqueous solution with activated sludge biosolids (Ref. NO: MT11-OP-475),2011,Environmental Earth Sciences,,,,973.0,984.0,0,10.1007/978-3-540-95991-5-92,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894303002&doi=10.1007%2F978-3-540-95991-5-92&partnerID=40&md5=ec75a52babcd88d64717581a0af5eb4f,"Environmental Engineering Department, SDU University, Kaskelen, Almaty, Kazakhstan","Şencan, Aziz, Environmental Engineering Department, SDU University, Kaskelen, Almaty, Kazakhstan; Sevindir, H. Cahit, ; Kılıç, Mehmet, ; Karaboyaci, Mustafa, ","Conventional methods using for removing heavy metals from waste water such as ion change, sedimentation, electrochemical and membrane processes, active carbon adsorption, evaporization and solvent extraction methods have high preliminary investments and operation costs. Furthermore, after the physicochemical refinement processes, subsidiary pollutants which are harmful to the environment occurs. Because of these reasons, biosorption processes improvement studies have been speeded up. Biosorption processes are the methods that are used for absorbing heavy metals from waste water by using biological substances. Using proper biomass is a cheaper process than those mentioned above. Moreover, the operation is easier than these processes. Many studies in the literature, it was determined that heavy metals were held on the surface of the dead bacteria, fungi and alga. In this study, it was also aimed to find out the capacity of heavy metal biosorption found in waste water by active sludge biomass which contains a number of bacteria, protozoa, fungi and rotifer kinds. Biosorption studies are carried out with batch technique. In this extent, the solutions which include chrome (VI) are used and optimum conditions on which biomass is successful in biosorpting these metals. The IR spectra's of raw sludge and CR+6 charged biomass were taken for determine the effective functional groups on the adsorption. And for the biosorption process, kinetics and isotherm studies were also conducted. Finally, it was determined that biosorption can be explained with second degree kinetic and isotherm datum is compatible with Freundlich and Langmuir's isotherm modal. © Springer-Verlag Berlin Heidelberg 2011.",Activated sludge; Biosorption; Cr(VI); FT-IR; Isotherm; Kinetic,,"Süleyman Demirel Üniversitesi, (1112-YL-05)",This project was funded by Süleyman Demirel University Scientific Research Project Foundation Fund (Project no: 1112-YL-05). The financial assistance from Research Project Foundation Fund on Biosorption of Cr(VI) from aqueous solution and tannery effluents with activated sludge biomass is thankfully acknowledged by the authors.,,International Conference on Environment: Survival and Sustainability,,,,Conference paper,Final,,Scopus,2-s2.0-84894303002,agricultural_and_biological_sciences,Q1,"Q1, Q1, Q1, Q2, Q2, Q2, Q2","Geology: Q1 (rank 54, 83%); Earth-Surface Processes: Q1 (rank 33, 82%); Water Science and Technology: Q1 (rank 69, 75%); Soil Science: Q2 (rank 44, 73%); Pollution: Q2 (rank 64, 63%); Global and Planetary Change: Q2 (rank 54, 57%); Environmental Chemistry: Q2 (rank 70, 53%)",Geology; Earth-Surface Processes; Water Science and Technology; Soil Science; Pollution; Global and Planetary Change; Environmental Chemistry,0.683,1866-6280,19400158519.0,ok_2024
"Betul Polat, S.; Cankurt, S.","Betul Polat, Sumeyra (58414213400); Cankurt, Selçuk (57190182763)",58414213400; 57190182763,Fake News Classification using BLSTM with Glove Embedding,2023,"Proceedings - 2023 17th International Conference on Electronics Computer and Computation, ICECCO 2023",,,,,,5,10.1109/ICECCO58239.2023.10147150,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163769944&doi=10.1109%2FICECCO58239.2023.10147150&partnerID=40&md5=2cfcdcb03e0c1f8eb2797176c77ad004,"Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Computer Engineering, Vistula University, Warsaw, Poland","Betul Polat, Sumeyra, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Cankurt, Selçuk, Department of Computer Engineering, Vistula University, Warsaw, Poland","Considering the extensive utilization of social media platforms, false information is more likely to spread rapidly among users. With the surge of user-generated content, a significant amount of the information being shared is in-accurate and has no connection to reality. It can be chal-lenging to automatically identify and verify the accuracy of textual content. This research project aims to employ B-LSTM deep learning model with dynamic and static pre-trained embeddings to classify news datasets utilizing three fake news benchmarking datasets. © 2023 IEEE.",Deep learning; Fake news detection; False news; True news,Classification (of information); Fake detection; Long short-term memory; Deep learning; Embeddings; Fake news detection; False news; Learning models; Social media platforms; Textual content; True news; User-generated,,,,"17th International Conference on Electronics Computer and Computation, ICECCO 2023",2023-06-01 through 2023-06-02,Kaskelen,189431.0,Conference paper,Final,,Scopus,2-s2.0-85163769944,business_management_and_accounting,,,,,,,,conference_or_book
"Altay, G.; Kucuksille, E.U.","Altay, Gönül (60012727500); Kucuksille, Ecir Ugur (18037773100)",60012727500; 18037773100,Quantum-Inspired Cross-Attention Alignment for Turkish Scientific Abstractive Summarization,2025,Electronics (Switzerland),14,22,4474,,,1,10.3390/electronics14224474,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023146536&doi=10.3390%2Felectronics14224474&partnerID=40&md5=65cb0cfce17f937bcd3b2b6bc8e538f1,"Department of Computer Engineering, SDU University, Kaskelen, Almaty, Kazakhstan","Altay, Gönül, Department of Computer Engineering, SDU University, Kaskelen, Almaty, Kazakhstan; Kucuksille, Ecir Ugur, Department of Computer Engineering, SDU University, Kaskelen, Almaty, Kazakhstan","This paper presents a quantum-inspired cross-attention alignment approach for abstractive summarization. The motivation is that current neural summarizers often lose key content and produce summaries that are weakly grounded in the source, especially for long and information-dense scientific articles in low-resource languages. The method itself is model-agnostic and aims to strengthen token-level alignment without introducing additional trainable parameters or inference overhead, by exploiting a Born-rule-based similarity between encoder and decoder states. This general idea is instantiated and tested on the task of summarizing Turkish scientific articles in Mathematics Education, which provides a challenging low-resource test bed with long and dense source texts. Six different fine-tuning variants built upon the mBART-50 model are examined, including SFT, LoRA baselines, and two novel quantum-augmented decoders: the parameter-free SFT + QDA + QKernel and SFT + QDA + QBorn (Born-rule-inspired, learnable classical mapping). Models are trained with five random seeds and evaluated using beam search and sampling schemes. Statistical significance is assessed via bootstrap confidence intervals, Benjamini–Hochberg FDR correction, and Cliff’s δ effect size. Beam search consistently outperforms sampling across all architectures. Our best configuration, SFT + QDA + QKernel, achieves strong results (ROUGE-L: 0.2966, BERTScore-F1: 0.8890) and yields statistically significant, large-effect gains over all baselines. These findings indicate that the proposed parameter-free quantum kernel provides a practical way to improve abstraction quality and faithfulness, particularly in low-resource summarization settings. © 2025 by the authors.",abstractive text summarization; attention alignment; born rule; low-rank adaptation (LoRA); mBART-50; quantum kernel; quantum-inspired learning; Turkish scientific articles,Abstracting; Alignment; Sampling; Abstractive text summarization; Attention alignment; Born rule; Low-rank adaptation; MBART-50; Quantum kernel; Quantum-inspired learning; Scientific articles; Text Summarisation; Turkish scientific article; Turkishs; Decoding,,,,,,,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105023146536,computer_science,Q1,"Q1, Q1, Q1, Q2, Q2","Electrical and Electronic Engineering: Q1 (rank 228, 76%); Signal Processing: Q1 (rank 44, 76%); Control and Systems Engineering: Q1 (rank 93, 75%); Computer Networks and Communications: Q2 (rank 137, 73%); Hardware and Architecture: Q2 (rank 62, 72%)",Electrical and Electronic Engineering; Signal Processing; Control and Systems Engineering; Computer Networks and Communications; Hardware and Architecture,0.615,,21100829272.0,ok_2024
"Shoiynbek, A.; Kuanyshbay, D.; Menezes, P.; Assunção, G.; Meraliyev, B.; Mukhametzhanov, A.; Shoiynbek, T.; Sklyar, S.","Shoiynbek, Aisultan A. (57215213422); Kuanyshbay, Darkhan N. (57215602501); Menezes, Paulo J. (56592011600); Assunção, Gustavo (57210644576); Meraliyev, Bakhtiyor (57238603500); Mukhametzhanov, Assylbek (60199535400); Shoiynbek, T. A. (59969074500); Sklyar, Sergey (58524521400)",57215213422; 57215602501; 56592011600; 57210644576; 57238603500; 60199535400; 59969074500; 58524521400,The Automated Method of Collecting and Labeling Data for Speech Emotion Recognition based on Face Emotion Recognition,2025,Applied Mathematics and Information Sciences,19,5,,1067.0,1077.0,0,10.18576/amis/190508,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022158868&doi=10.18576%2Famis%2F190508&partnerID=40&md5=64393bdf0ec5e8003bc535e1873a38fe,"School of Digital Technologies, Narxoz University, Almaty, Kazakhstan; Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; University of Coimbra, Institute of Systems and Robotics, Coimbra, Portugal; Department of General and Applied Psychology, Al Farabi Kazakh National University, Almaty, Kazakhstan","Shoiynbek, Aisultan A., School of Digital Technologies, Narxoz University, Almaty, Kazakhstan; Kuanyshbay, Darkhan N., Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Menezes, Paulo J., University of Coimbra, Institute of Systems and Robotics, Coimbra, Portugal; Assunção, Gustavo, University of Coimbra, Institute of Systems and Robotics, Coimbra, Portugal; Meraliyev, Bakhtiyor, Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Mukhametzhanov, Assylbek, Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Shoiynbek, T. A., School of Digital Technologies, Narxoz University, Almaty, Kazakhstan; Sklyar, Sergey, Department of General and Applied Psychology, Al Farabi Kazakh National University, Almaty, Kazakhstan","Speech Emotion Recognition (SER) is vital for enabling natural and effective human-machine interactions, yet its advancement is constrained by the scarcity of richly annotated emotional speech corpora, the laborious nature of manual labeling, and the difficulty of eliciting genuine expressions. We propose an automated data-collection and labeling pipeline that synchronizes video-based facial emotion recognition (FER) with audio capture to annotate speech recordings according to speakers’ natural facial expressions. Applying this method, we processed 1 243 YouTube videos (1 058 hours of raw footage) and extracted 218 359 candidate utterances, which-after FER-guided filtering-yielded a high-quality corpus of 45 459 recordings (33 h 15 min of audio) across seven basic emotions in Kazakh (15 076 utterances) and Russian (30 383 utterances). We trained a deep neural network on the combined dataset and achieved 86.84% overall test accuracy, with per-language accuracies of 89.00% (Kazakh) and 85.20% (Russian) for sevenway emotion classification; a support vector machine reached 82.47% under the same conditions. By reducing manual annotation effort by over 80% while maintaining consistent labels, our approach delivers a scalable, language-agnostic solution for generating authentic emotional speech datasets, substantially cutting down on human labor and paving the way for more robust, real-world SER systems. © 2025 NSP Natural Sciences Publishing Cor.",Face emotion recognition; labeling; machine learning; speech emotion recognition,,"Ministry of Education and Science of the Republic of Kazakhstan, (AP22786670)",This research was funded by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan under Grant No. AP22786670.,,,,,,Article,Final,,Scopus,2-s2.0-105022158868,computer_science,Q2,"Q2, Q2, Q2, Q3, Q3","Analysis: Q2 (rank 68, 65%); Applied Mathematics: Q2 (rank 308, 53%); Numerical Analysis: Q2 (rank 43, 51%); Computational Theory and Mathematics: Q3 (rank 106, 46%); Computer Science Applications: Q3 (rank 580, 38%)",Analysis; Applied Mathematics; Numerical Analysis; Computational Theory and Mathematics; Computer Science Applications,0.27,1935-0090,21100197928.0,ok_2024
"Shaiakhmetov, D.; Gimaletdinova, G.; Momunov, K.; Cankurt, S.","Shaiakhmetov, Dim (57459629700); Gimaletdinova, Gulnaz (59308265400); Momunov, Kadyrmamat (59741858800); Cankurt, Selçuk (57190182763)",57459629700; 59308265400; 59741858800; 57190182763,Evaluation of the Pronunciation of Tajweed Rules Based on DNN as a Step Towards Interactive Recitation Learning,2025,"Computer Systems and Technologies - 26th International Conference, CompSysTech 2025 - Proceedings",,,,,,1,10.1109/CompSysTech65493.2025.11137272,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016457775&doi=10.1109%2FCompSysTech65493.2025.11137272&partnerID=40&md5=78ab364ebec302b0df3625e794546077,"Department of Computer Science, Ala-Too International University, Bishkek, Kyrgyzstan; Department of Applied Mathematics and Informatics, Ala-Too International University, Bishkek, Kyrgyzstan; Department of Computer Engineering, Vistula University, Warsaw, Poland; Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan","Shaiakhmetov, Dim, Department of Computer Science, Ala-Too International University, Bishkek, Kyrgyzstan; Gimaletdinova, Gulnaz, Department of Applied Mathematics and Informatics, Ala-Too International University, Bishkek, Kyrgyzstan; Momunov, Kadyrmamat, Department of Computer Science, Ala-Too International University, Bishkek, Kyrgyzstan; Cankurt, Selçuk, Department of Computer Engineering, Vistula University, Warsaw, Poland, Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan","Proper recitation of the Quran, adhering to the rules of Tajweed, is crucial for preventing mistakes during recitation and requires significant effort to master. Traditional methods of teaching these rules are limited by the availability of qualified instructors and time constraints. Automatic evaluation of recitation can address these challenges by providing prompt feedback and supporting independent practice. This study focuses on developing a deep learning model to classify three Tajweed rules - separate stretching (Al Mad), tight noon (Ghunnah), and hide (Ikhfaa) - using the publicly available QDAT dataset, which contains over 1,500 audio recordings. The input data consisted of audio recordings from this dataset, transformed into normalized mel-spectrograms. For classification, the EfficientNetB0 architecture was used, enhanced with a Squeeze-and-Excitation block. The developed model achieved accuracy rates of 95.35 %, 99.34%, and 97.01% for the respective rules. An analysis of the learning curves confirmed the model's robustness and absence of overfitting. The proposed approach demonstrates high efficiency and paves the way for developing interactive educational systems for Tajweed study. © 2025 IEEE.",Attention mechanism; CNN; DNN; Mel-spectrogram; Pronunciation evaluation; Squeeze-and-Excitation block; Tajweed rules; Transfer learning,Deep learning; Learning systems; Signal processing; Attention mechanisms; DNN; Mel-spectrogram; Methods of teachings; Pronunciation evaluations; Rule based; Spectrograms; Squeeze-and-excitation block; Tajweed rule; Transfer learning; Spectrographs,,,,"26th International Conference on Computer Systems and Technologies, CompSysTech 2025",2025-06-27 through 2025-06-28,"Hybrid, Ruse",211954.0,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105016457775,computer_science,,,,,,,,conference_or_book
"Cankurt, S.; Subasi, A.","Cankurt, Selçuk (57190182763); Subasi, Abdulhamit (8327241200)",57190182763; 8327241200,Tourism demand forecasting using stacking ensemble model with adaptive fuzzy combiner,2022,Soft Computing,26,7,,3455.0,3467.0,9,10.1007/s00500-021-06695-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122691394&doi=10.1007%2Fs00500-021-06695-0&partnerID=40&md5=e11cde1b5e7cbe36490afddbb0988725,"Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Institute of Biomedicine, Lääketieteellinen Tiedekunta, Turku, Southwest Finland, Finland; Department of Computer Science, Effat University, Jeddah, Makkah al Mukarramah, Saudi Arabia","Cankurt, Selçuk, Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Subasi, Abdulhamit, Institute of Biomedicine, Lääketieteellinen Tiedekunta, Turku, Southwest Finland, Finland, Department of Computer Science, Effat University, Jeddah, Makkah al Mukarramah, Saudi Arabia","Over the last decades, several soft computing techniques have been applied to tourism demand forecasting. Among these techniques, a neuro-fuzzy model of ANFIS (adaptive neuro-fuzzy inference system) has started to emerge. A conventional ANFIS model cannot deal with the large dimension of a dataset, and cannot work with our dataset, which is composed of a 62 time-series, as well. This study attempts to develop an ensemble model by incorporating neural networks with ANFIS to deal with a large number of input variables for multivariate forecasting. Our proposed approach is a collaboration of two base learners, which are types of the neural network models and a meta-learner of ANFIS in the framework of the stacking ensemble. The results show that the stacking ensemble of ANFIS (meta-learner) and ANN models (base learners) outperforms its stand-alone counterparts of base learners. Numerical results indicate that the proposed ensemble model achieved a MAPE of 7.26% compared to its single-instance ANN models with MAPEs of 8.50 and 9.18%, respectively. Finally, this study which is a novel application of the ensemble systems in the context of tourism demand forecasting has shown better results compared to those of the single expert systems based on the artificial neural networks. © 2022, The Author(s).",ANFIS; Artificial neural network (ANN); Multivariate time series forecasting; Stacking ensemble; Tourism demand forecasting,Fuzzy inference; Fuzzy neural networks; Fuzzy systems; Large dataset; Learning systems; Soft computing; Time series; Adaptive neuro-fuzzy inference; Adaptive neuro-fuzzy inference system; Artificial neural network; Multivariate time series; Multivariate time series forecasting; Neuro-fuzzy inference systems; Stacking ensemble; Stackings; Time series forecasting; Tourism demand forecasting; Forecasting,,,,,,,,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85122691394,computer_science,Q1,"Q1, Q1, Q1",Geometry and Topology: Q1 (99%); Theoretical Computer Science: Q1 (84%); Software: Q1 (80%),Geometry and Topology; Theoretical Computer Science; Software,0.123,1432-7643,21100778844.0,ok_2024
